signal_name,total_return_pct,sharpe_ratio,sortino_ratio,calmar_ratio
SMA|high|10|40,95.49117931576777,-0.08553317865275213,-0.11479741476108743,-0.04798524318419091
SMA|low|12|55,95.34330829673765,-0.08838971888134048,-0.11866251946510825,-0.05541634477339184
SMA|high|8|50,95.33671847689598,-0.08851709774434921,-0.11880839362859956,-0.061692397322402025
SMA|low|20|35,95.28924559051319,-0.0894349289821475,-0.12012248382808109,-0.06229319063572438
SMA|close|12|60,95.24361677738365,-0.09031743406960639,-0.12138977044648185,-0.06276628413192703
SMA|high|4|25,95.03011397685677,-0.09445104733523924,-0.12586795976879878,-0.05426500534124422
SMA|high|20|35,94.90669591405464,-0.0968437485178312,-0.12999241335997488,-0.07037756609324994
SMA|close|16|35,94.81585523966936,-0.09860638074047687,-0.13220412028323966,-0.06864150329236153
SMA|close|6|35,94.72664429680276,-0.10033863684392867,-0.13257169471096217,-0.06051858250623015
SMA|close|18|40,94.65033661796099,-0.1018213253079438,-0.1367612487832853,-0.05836855851084934
SMA|low|10|45,94.55778333067695,-0.10362088903957002,-0.1386380403517052,-0.06308215219401381
SMA|close|14|45,94.42246606194561,-0.10625434121059725,-0.1424359030721037,-0.06236027371788275
SMA|low|6|40,94.35304053061593,-0.10760656420205261,-0.14339775617316203,-0.05137687560900368
SMA|low|14|40,94.33943685918828,-0.10787161562688224,-0.14494184406176577,-0.07261756967015799
SMA|close|14|50,94.32695477891127,-0.10811483963295387,-0.14487036726048194,-0.07912269526661972
SMA|high|18|60,94.25211061374955,-0.10957375431032486,-0.14683396077588165,-0.0695820282226741
SMA|close|12|50,94.13469780121572,-0.11186421761588743,-0.15007842851818587,-0.0772687346215255
SMA|low|14|50,94.13276005711538,-0.11190203686514111,-0.1501253573518264,-0.07606250623727598
SMA|low|8|50,94.0323897062702,-0.11386178811159813,-0.1525023919007475,-0.07412609099736722
SMA|high|6|40,93.99673542995262,-0.11455832675927087,-0.15240100971424766,-0.05496432155421598
SMA|high|18|55,93.93849659780034,-0.11569650626874028,-0.15501508701500885,-0.08670617611590516
SMA|low|14|45,93.88227390845918,-0.11679579133347726,-0.15666048149577302,-0.0752615446704574
SMA|low|20|60,93.73503799545585,-0.11967696488578242,-0.16047674228851277,-0.0672780634889844
SMA|high|14|20,93.44206614602454,-0.12542018272532565,-0.16993183122151373,-0.051616659587659694
SMA|low|4|15,93.35993750322201,-0.1270326256568084,-0.16865221519706852,-0.05705042067590869
SMA|close|14|55,93.10409147789218,-0.1320625905474926,-0.1773593717718769,-0.070396935998337
SMA|high|16|45,93.0915824235756,-0.13230878872315216,-0.1773882790028298,-0.08234526154340194
SMA|low|12|45,93.09126462846272,-0.1323150437718657,-0.1774800438266511,-0.07752812720257864
SMA|high|20|60,93.09013272939904,-0.1323373226452239,-0.1774981859984787,-0.08076473266759582
SMA|high|20|50,93.00055687154133,-0.1341010729566673,-0.17983582266833492,-0.09332810532911145
SMA|high|14|40,92.78097111149037,-0.1384301766295092,-0.1858570327320051,-0.0858179228796991
SMA|close|20|60,92.67235201373475,-0.14057446011053532,-0.18818904178094636,-0.08262808012769164
SMA|close|12|35,92.59412885267001,-0.14211986873251214,-0.19060710172321663,-0.07818851998348872
SMA|close|16|20,92.1328622345893,-0.15125302986415443,-0.21613375834934911,-0.05131872085825422
SMA|high|4|30,91.8750969796391,-0.15637193503371732,-0.2070257729047978,-0.09523302762213058
SMA|low|16|45,91.821035396158,-0.15744691464761287,-0.2111626621591308,-0.09624778174002065
SMA|close|10|55,91.7138950931912,-0.15957874893510313,-0.21430404512681409,-0.09897265065741284
SMA|high|14|45,91.60033940996892,-0.16184029644920042,-0.21657808752803265,-0.08671521149019408
SMA|close|10|15,91.56599248150007,-0.16252476034329663,-0.21726125491290624,-0.06996291822101976
SMA|close|12|45,91.39466629812296,-0.1659418511888262,-0.22223887625331565,-0.0918232395198748
SMA|high|4|55,91.23781550677533,-0.16907449328022855,-0.22470879919598133,-0.08537546802026542
SMA|low|12|35,91.2347199328221,-0.1691363596780241,-0.22698593691023775,-0.09896219262463404
SMA|close|8|50,90.85917965838065,-0.1766535177318324,-0.23598835305737906,-0.09741483194617848
SMA|close|20|30,90.81747339281276,-0.1774898015118448,-0.23779447614744223,-0.09890180642878589
SMA|close|12|55,90.74169729994999,-0.1790099907194875,-0.23999395407806112,-0.11063182537420949
SMA|close|14|40,90.68958122436379,-0.18005608115251026,-0.24125752026271094,-0.10733848955226036
SMA|close|10|40,90.63590572088349,-0.18113394957766576,-0.2419265325320217,-0.0889918259816777
SMA|low|18|40,90.37805499290342,-0.18631866106046643,-0.25036996176298565,-0.11234613032288904
SMA|low|4|25,90.1503233996297,-0.19090709252592916,-0.253168016721742,-0.09603229666045662
